,id,label
0,Ele-Txt-Amazon-ele,0
1,Ele-Txt-Amsterdam-ele,0
2,Ele-Txt-Anita-ele,0
3,Ele-Txt-Arctic mapping-ele,0
4,Ele-Txt-Banksy-ele,0
5,Ele-Txt-Billionaires-ele,0
6,Ele-Txt-Blackberry-ele,0
7,Ele-Txt-Bolivia-ele,0
8,Ele-Txt-Bonus pay-ele,0
9,Ele-Txt-Brazil-ele,0
10,Ele-Txt-Cigarettes-ele,0
11,Ele-Txt-climate change -ele,0
12,Ele-Txt-Coal to challenge oil-ele,0
13,Ele-Txt-Copyright-ele,0
14,Ele-Txt-Crowdfunding-ele,0
15,Ele-Txt-Denmark-ele,0
16,Ele-Txt-Everest-ele,0
17,Ele-Txt-Exercise-ele,0
18,Ele-Txt-Facebook deserted by millions of users-ele,0
19,Ele-Txt-False memory-ele,0
20,Ele-Txt-Ferguson-ele,0
21,Ele-Txt-Fitness-ele,0
22,Ele-Txt-Food shortages-ele,0
23,Ele-Txt-Gangs-ele,0
24,Ele-Txt-Gorillas and oil-ele,0
25,Ele-Txt-Greeks and drugs-ele,0
26,Ele-Txt-Hillsborough-ele,0
27,Ele-Txt-Insects-ele,0
28,Ele-Txt-Japan menu-ele,0
29,Ele-Txt-Japan-ele,0
30,Ele-Txt-Kashmir-ele,0
31,Ele-Txt-Kate and William-ele,0
32,Ele-Txt-Kenya-ele,0
33,Ele-Txt-Liberia-ele,0
34,Ele-Txt-Lie detector-ele,0
35,Ele-Txt-Life expectancy-ele,0
36,Ele-Txt-Life on Mars-ele,0
37,Ele-Txt-Loterry-ele,0
38,Ele-Txt-Malala-ele,0
39,Ele-Txt-Meteorite-ele,0
40,Ele-Txt-Midlife crisis-ele,0
41,Ele-Txt-Murderers beware-ele,0
42,Ele-Txt-Nelson Mandela-ele,0
43,Ele-Txt-Nepal-ele,0
44,Ele-Txt-Norwegian sun-ele,0
45,Ele-Txt-NSA 2-ele,0
46,Ele-Txt-NSA scandal-ele,0
47,Ele-Txt-Obama-ele,0
48,Ele-Txt-Old age-ele,0
49,Ele-Txt-Organs-ele,0
50,Ele-Txt-Pope-ele,0
51,Ele-Txt-Prince Harry-ele,0
52,Ele-Txt-Rats-ele,0
53,Ele-Txt-Richard III-ele,0
54,Ele-Txt-Royal Baby-ele,0
55,Ele-Txt-Skydiver-ele,0
56,Ele-Txt-Spain-ele,0
57,Ele-Txt-Starbucks-ele,0
58,Ele-Txt-Superbugs-ele,0
59,Ele-Txt-Swedish prisons-ele,0
60,Ele-Txt-Syria-ele,0
61,Ele-Txt-Teff-ele,0
62,Ele-Txt-Thatcher-ele,0
63,Ele-Txt-US shutdown-ele,0
64,Ele-Txt-Violence-ele,0
65,Ele-Txt-WNL 101 year old bottle message-ele,0
